央视高清频道,#genre#

CCTV1 综合 高清,http://192.168.3.1:55555/udp/239.10.0.114:1025
CCTV2 财经 高清,http://192.168.3.1:55555/udp/239.10.0.207:1025
CCTV3 综艺 高清,http://192.168.3.1:55555/udp/239.10.0.101:1025
CCTV4 中文国际 高清,http://192.168.3.1:55555/udp/239.10.0.245:1025
CCTV5 体育 高清,http://192.168.3.1:55555/udp/239.10.0.102:1025
CCTV5 体育 高清,http://192.168.3.1:55555/udp/239.11.0.19:1025
CCTV5+ 体育赛事 高清,http://192.168.3.1:55555/udp/239.10.0.213:1025
IPTV5+ 体育赛事 高清,http://192.168.3.1:55555/udp/239.10.0.218:1025
CCTV6 电影 高清,http://192.168.3.1:55555/udp/239.10.0.103:1025
CCTV7 国防军事 高清,http://192.168.3.1:55555/udp/239.10.0.208:1025
CCTV8 电视剧 高清,http://192.168.3.1:55555/udp/239.10.0.104:1025
CCTV9 纪录 高清,http://192.168.3.1:55555/udp/239.10.0.209:1025
CCTV10 科教 高清,http://192.168.3.1:55555/udp/239.10.0.210:1025
CCTV11 戏曲 高清,http://192.168.3.1:55555/udp/239.11.0.24:1025
CCTV12 社会与法 高清,http://192.168.3.1:55555/udp/239.10.0.211:1025
CCTV13 新闻 高清,http://192.168.3.1:55555/udp/239.10.0.198:1025
CCTV14 少儿 高清,http://192.168.3.1:55555/udp/239.10.0.212:1025
CCTV15 音乐 高清,http://192.168.3.1:55555/udp/239.11.0.25:1025
CCTV16 奥林匹克 高清,http://192.168.3.1:55555/udp/239.11.0.126:1025
CCTV17 农业农村 高清,http://192.168.3.1:55555/udp/239.10.0.244:1025
CGTN 英语 高清,http://192.168.3.1:55555/udp/239.11.0.103:1025
CGTN 纪录 高清,http://192.168.3.1:55555/udp/239.11.0.104:1025
CGTN 牙语 高清,http://192.168.3.1:55555/udp/239.11.0.105:1025
CGTN 法语 高清,http://192.168.3.1:55555/udp/239.11.0.106:1025
CGTN 阿语 高清,http://192.168.3.1:55555/udp/239.11.0.107:1025
CGTN 俄语 高清,http://192.168.3.1:55555/udp/239.11.0.108:1025
CCTV4 欧洲 高清,http://192.168.3.1:55555/udp/239.11.0.101:1025
CCTV4 美洲 高清,http://192.168.3.1:55555/udp/239.11.0.102:1025
CCTV 兵器科技 高清,http://192.168.3.1:55555/udp/239.11.0.57:1025
CCTV 电视指南 高清,http://192.168.3.1:55555/udp/239.11.0.58:1025
CCTV 风云足球 高清,http://192.168.3.1:55555/udp/239.11.0.59:1025
CCTV 央视台球 高清,http://192.168.3.1:55555/udp/239.11.0.60:1025
CCTV 央视网球 高清,http://192.168.3.1:55555/udp/239.11.0.61:1025
CCTV 女性时尚 高清,http://192.168.3.1:55555/udp/239.11.0.62:1025
CCTV 世界地理 高清,http://192.168.3.1:55555/udp/239.11.0.63:1025
CCTV 怀旧剧场 高清,http://192.168.3.1:55555/udp/239.11.0.64:1025
CCTV 风云剧场 高清,http://192.168.3.1:55555/udp/239.11.0.65:1025
CCTV 文化精品 高清,http://192.168.3.1:55555/udp/239.11.0.66:1025
CCTV 第一剧场 高清,http://192.168.3.1:55555/udp/239.11.0.67:1025
CCTV 风云音乐 高清,http://192.168.3.1:55555/udp/239.11.0.68:1025
CHC 高清电影 高清,http://192.168.3.1:55555/udp/239.11.0.129:1025
CBN 每日影院 高清,http://192.168.3.1:55555/udp/239.11.0.163:1025
CBN 风尚生活 高清,http://192.168.3.1:55555/udp/239.11.0.164:1025
CBN 幸福剧场 高清,http://192.168.3.1:55555/udp/239.11.0.165:1025
CBN 幸福娱乐 高清,http://192.168.3.1:55555/udp/239.11.0.166:1025
CCTV1 综合 高清,http://192.168.3.1:55555/udp/239.20.0.104:2006
CCTV2 财经 高清,http://192.168.3.1:55555/udp/239.20.0.197:2192
